ENSG00000000419	NaN
ENSG00000000457	0.205679
ENSG00000000938	NaN
ENSG00000000971	NaN
ENSG00000001036	NaN
ENSG00000001084	0.327986
ENSG00000001167	NaN
ENSG00000001460	0.287331
ENSG00000001461	NaN
ENSG00000001561	0.365575
ENSG00000001617	NaN
ENSG00000001629	NaN
ENSG00000001630	NaN
ENSG00000001631	NaN
ENSG00000002016	0.279330
ENSG00000002330	NaN
ENSG00000002549	NaN
ENSG00000002587	NaN
ENSG00000002746	NaN
ENSG00000002822	NaN
ENSG00000002834	NaN
ENSG00000002919	0.086159
ENSG00000002933	0.309309
ENSG00000003056	NaN
ENSG00000003137	NaN
ENSG00000003147	NaN
ENSG00000003249	NaN
ENSG00000003393	0.167510
ENSG00000003400	NaN
ENSG00000003402	NaN
ENSG00000003436	NaN
ENSG00000003509	NaN
ENSG00000003756	NaN
ENSG00000003987	NaN
ENSG00000003989	NaN
ENSG00000004059	NaN
ENSG00000004139	NaN
ENSG00000004142	0.327404
ENSG00000004399	NaN
ENSG00000004455	NaN
ENSG00000004468	0.311866
ENSG00000004478	NaN
ENSG00000004487	NaN
ENSG00000004534	0.535457
ENSG00000004660	NaN
ENSG00000004700	NaN
ENSG00000004766	NaN
ENSG00000004776	NaN
ENSG00000004777	NaN
ENSG00000004779	NaN
ENSG00000004799	NaN
ENSG00000004864	NaN
ENSG00000004866	NaN
ENSG00000004897	NaN
ENSG00000004975	NaN
ENSG00000005007	NaN
ENSG00000005020	NaN
ENSG00000005075	NaN
ENSG00000005100	NaN
ENSG00000005156	0.466438
ENSG00000005175	NaN
ENSG00000005194	NaN
ENSG00000005206	NaN
ENSG00000005238	NaN
ENSG00000005243	NaN
ENSG00000005339	NaN
ENSG00000005379	NaN
ENSG00000005436	NaN
ENSG00000005448	NaN
ENSG00000005513	NaN
ENSG00000005700	0.070641
ENSG00000005801	0.303572
ENSG00000005810	NaN
ENSG00000005812	NaN
ENSG00000005882	NaN
ENSG00000005884	NaN
ENSG00000005961	NaN
ENSG00000006007	NaN
ENSG00000006015	NaN
ENSG00000006016	0.220952
